,Season,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Player ID
0,2021-22,BKN,32,44,44,1627,990,292,706,41.4,102,307,33.2,304,350,86.9,42,309,351,447,56,31,212,105,201935
1,2021-22,PHI,32,21,21,792,442,115,286,40.2,46,141,32.6,166,186,89.2,13,136,149,220,26,5,72,48,201935
2,2021-22,TOT,32,65,65,2420,1432,407,992,41.0,148,448,33.0,470,536,87.7,55,445,500,667,82,36,284,153,201935
3,2020-21,HOU,31,8,8,290,198,60,135,44.4,25,72,34.7,53,60,88.3,5,36,41,83,7,6,34,14,201935
4,2020-21,BKN,31,36,35,1319,885,282,599,47.1,96,262,36.6,225,263,85.6,30,277,307,392,46,27,143,85,201935
5,2020-21,TOT,31,44,43,1609,1083,342,734,46.6,121,334,36.2,278,323,86.1,35,313,348,475,53,33,177,99,201935
6,2019-20,HOU,30,68,68,2483,2335,672,1514,44.4,299,843,35.5,692,800,86.5,70,376,446,512,125,60,308,227,201935
7,2018-19,HOU,29,78,78,2867,2818,843,1909,44.2,378,1028,36.8,754,858,87.9,66,452,518,586,158,58,387,244,201935
8,2017-18,HOU,28,72,72,2551,2191,651,1449,44.9,265,722,36.7,624,727,85.8,41,348,389,630,126,50,315,169,201935
9,2016-17,HOU,27,81,81,2947,2356,674,1533,44.0,262,756,34.7,746,881,84.7,95,564,659,907,121,38,464,215,201935
10,2015-16,HOU,26,82,82,3125,2376,710,1617,43.9,236,657,35.9,720,837,86.0,63,438,501,612,139,51,374,229,201935
11,2014-15,HOU,25,81,81,2981,2217,647,1470,44.0,208,555,37.5,715,824,86.8,75,384,459,565,154,60,321,208,201935
12,2013-14,HOU,24,73,73,2777,1851,549,1205,45.6,177,483,36.6,576,665,86.6,61,283,344,446,115,29,265,177,201935
13,2012-13,HOU,23,78,78,2985,2023,585,1337,43.8,179,486,36.8,674,792,85.1,62,317,379,455,142,38,295,178,201935
14,2011-12,OKC,22,62,2,1946,1044,309,629,49.1,114,292,39.0,312,369,84.6,30,222,252,229,62,15,137,150,201935
15,2010-11,OKC,21,82,5,2189,998,298,684,43.6,113,324,34.9,289,343,84.3,42,213,255,176,92,24,106,207,201935
16,2009-10,OKC,20,76,0,1738,753,233,578,40.3,93,248,37.5,194,240,80.8,47,197,244,137,80,20,106,200,201935
