,Player,No.,Pos,Height,Weight,Birthdate,Age,Exp,School,Team ID
0,Aminu Mohammed,#,G,6-5,210 lbs,"DEC 15, 2001",20,R,Georgetown,1610612755
1,Tyrese Maxey,#0,G,6-2,200 lbs,"NOV 04, 2000",21,2,Kentucky,1610612755
2,James Harden,#1,G,6-5,220 lbs,"AUG 26, 1989",33,13,Arizona State,1610612755
3,Montrezl Harrell,#5,F-C,6-7,240 lbs,"JAN 26, 1994",28,7,Louisville,1610612755
4,De'Anthony Melton,#8,G,6-2,200 lbs,"MAY 28, 1998",24,4,Southern California,1610612755
5,Jaden Springer,#11,G,6-4,202 lbs,"SEP 25, 2002",20,1,Tennessee,1610612755
6,Tobias Harris,#12,F,6-7,226 lbs,"JUL 15, 1992",30,11,Tennessee,1610612755
7,Charlie Brown Jr.,#16,G,6-6,199 lbs,"FEB 02, 1997",25,3,St. Joseph's (PA),1610612755
8,P.J. Tucker,#17,F,6-5,245 lbs,"MAY 05, 1985",37,11,Texas,1610612755
9,Shake Milton,#18,G-F,6-5,205 lbs,"SEP 26, 1996",26,4,Southern Methodist,1610612755
10,Georges Niang,#20,F,6-7,230 lbs,"JUN 17, 1993",29,6,Iowa State,1610612755
11,Joel Embiid,#21,C-F,7-0,280 lbs,"MAR 16, 1994",28,6,Kansas,1610612755
12,Matisse Thybulle,#22,G-F,6-5,201 lbs,"MAR 04, 1997",25,3,Washington,1610612755
13,Danuel House Jr.,#25,F-G,6-6,220 lbs,"JUN 07, 1993",29,6,Texas A&M,1610612755
14,Furkan Korkmaz,#30,G-F,6-7,202 lbs,"JUL 24, 1997",25,5,Anadolu Efes,1610612755
15,Michael Foster Jr.,#35,F,6-8,250 lbs,"JAN 16, 2003",19,R,NBA G League Ignite,1610612755
16,Paul Reed,#44,F,6-9,210 lbs,"JUN 14, 1999",23,2,DePaul,1610612755
17,Julian Champagnie,#55,F,6-7,217 lbs,"JUN 29, 2001",21,R,St. John's,1610612755
