,team_name,team_id,division
0,Boston Celtics,1610612738,Atlantic
1,Brooklyn Nets,1610612751,Atlantic
2,New York Knicks,1610612752,Atlantic
3,Philadelphia 76ers,1610612755,Atlantic
4,Toronto Raptors,1610612761,Atlantic
5,Chicago Bulls,1610612741,Central
6,Cleveland Cavaliers,1610612739,Central
7,Detroit Pistons,1610612765,Central
8,Indiana Pacers,1610612754,Central
9,Milwaukee Bucks,1610612749,Central
10,Atlanta Hawks,1610612737,Southeast
11,Charlotte Hornets,1610612766,Southeast
12,Miami Heat,1610612748,Southeast
13,Orlando Magic,1610612753,Southeast
14,Washington Wizards,1610612764,Southeast
15,Denver Nuggets,1610612743,Northwest
16,Minnesota Timberwolves,1610612750,Northwest
17,Oklahoma City Thunder,1610612760,Northwest
18,Portland Trail Blazers,1610612757,Northwest
19,Utah Jazz,1610612762,Northwest
20,Golden State Warriors,1610612744,Pacific
21,LA Clippers,1610612746,Pacific
22,Los Angeles Lakers,1610612747,Pacific
23,Phoenix Suns,1610612756,Pacific
24,Sacramento Kings,1610612758,Pacific
25,Dallas Mavericks,1610612742,Southwest
26,Houston Rockets,1610612745,Southwest
27,Memphis Grizzlies,1610612763,Southwest
28,New Orleans Pelicans,1610612740,Southwest
29,San Antonio Spurs,1610612759,Southwest
